round,client,trust
20,5,0.015098583791292182
20,6,0.06489556476971865
20,7,0.015098583791291
20,8,0.11187701530479391
20,9,0.01509858379129058
20,10,0.015098583791289833
20,11,0.1191993457207286
20,12,0.015098583791290797
20,13,0.015098583791288058
20,14,0.07964035116109569
20,15,0.07465000926032388
20,16,0.06855450448609741
20,17,0.015098583791292149
20,18,0.004767973828829571
20,19,0.03731328980582316
21,0,0.014381311664057775
21,1,0.09711488775679254
21,2,0.11084771083946968
21,3,0.00454146684128197
21,4,0.08698901777270478
21,5,0.07880572914634193
21,6,0.09648632520914334
21,7,0.014381311664057359
21,8,0.014381311664057041
21,9,0.014381311664037303
21,10,0.014381311664030305
21,11,0.10738857593918598
21,12,0.014381311664057116
21,13,0.014381311664046114
21,14,0.10583728641641975
21,15,0.09910674489404415
21,16,0.07890898336664771
21,17,0.014381311664058177
21,18,0.00454146684128197
21,19,0.014381311664058037
22,0,0.016102240081829273
22,1,0.10429257444870803
22,2,0.10535428018525422
22,3,0.005084917920578334
22,4,0.08107629589944791
22,5,0.016102240081829835
22,6,0.05659123045898401
22,7,0.01610224008182904
22,8,0.08952664247184855
22,9,0.016102240081827233
22,10,0.016102240081821956
22,11,0.09651017085259217
22,12,0.016102240081828697
22,13,0.01610224008182619
22,14,0.11042577663114539
22,15,0.11813502233423298
22,16,0.08299801013992417
22,17,0.016102240081829772
22,18,0.005084917920578334
22,19,0.0161022400818296
23,0,0.01942987395113497
23,1,0.13678520768085656
23,2,0.12671032162168402
23,3,0.006135749668780314
23,4,0.10749058534508552
23,5,0.01942987395113579
23,6,0.06931043733632886
23,7,0.01942987395113489
23,8,0.019429873951135063
23,9,0.019429873951133984
23,10,0.019429873951135174
23,11,0.09756396445791023
23,12,0.01942987395113418
23,13,0.01942987395113295
23,14,0.11141649066502385
23,15,0.050728578571572654
23,16,0.09342417547232262
23,17,0.019429873951135736
23,18,0.006135749668780314
23,19,0.019429873951135587
24,0,0.02168345010148329
24,1,0.09496928385456999
24,2,0.13984942312841783
24,3,0.006847405295206118
24,4,0.14060705575140434
24,5,0.047695672932237344
24,6,0.0697936400450156
24,7,0.02168345010148277
24,8,0.025715290546366676
24,9,0.021683450101477025
24,10,0.02168345010148019
24,11,0.10025894248562574
24,12,0.021683450101482007
24,13,0.021683450101481153
24,14,0.07931699396159764
24,15,0.09294783579067385
24,16,0.02168345010148254
24,17,0.02168345010148388
24,18,0.006847405295206118
24,19,0.021683450101483454
25,0,0.017349616172953303
25,1,0.11121550419305577
25,2,0.10115702748861789
25,3,0.005478826159880894
25,4,0.09619046744652497
25,5,0.05710209085498781
25,6,0.0504217951118747
25,7,0.017349616172953188
25,8,0.07587611064606675
25,9,0.017349616172952543
25,10,0.01734961617295361
25,11,0.08708979754778218
25,12,0.07567398853176421
25,13,0.017349616172951676
25,14,0.12200432005607637
25,15,0.01734961617295436
25,16,0.07351431641958617
25,17,0.01734961617295444
25,18,0.005478826159880894
25,19,0.017349616172954163
26,0,0.017715047895924315
26,1,0.07983621800397522
26,2,0.0899154496604684
26,3,0.005594225651345384
26,4,0.09785994483420649
26,5,0.09201734287085483
26,6,0.06493990906926497
26,7,0.017715047895924103
26,8,0.03829195696897484
26,9,0.017715047895922348
26,10,0.017715047895922903
26,11,0.10926920225415018
26,12,0.0843007970409246
26,13,0.01771504789592136
26,14,0.09166009779313466
26,15,0.04226463841712975
26,16,0.07445065651248034
26,17,0.017715047895925345
26,18,0.005594225651345384
26,19,0.017715047895924874
27,0,0.02658995509355346
27,1,0.0265899550935541
27,2,0.1482529271378928
27,3,0.008396827924281371
27,4,0.13218955597718512
27,5,0.02658995509355513
27,6,0.08822220300886642
27,7,0.026589955093552865
27,8,0.06103615446681271
27,9,0.026589955093553996
27,10,0.026589955093549042
27,11,0.11676026961166158
27,12,0.11024319357097226
27,13,0.026589955093549895
27,14,0.03401253434854164
27,15,0.026589955093553424
27,16,0.02658995509355349
27,17,0.02658995509355506
27,18,0.008396827924281371
27,19,0.026589955093554322
28,0,0.02376268199964589
28,1,0.10276548267574555
28,2,0.0629677921488678
28,3,0.004362319511636578
28,4,0.07838505788451396
28,5,0.0790052304937231
28,6,0.06506946092040396
28,7,0.013814011786846709
28,8,0.08780701247222877
28,9,0.004362319511636578
28,10,0.013814011786843234
28,11,0.09456827162399714
28,12,0.05772488893924933
28,13,0.004362319511636578
28,14,0.10477502127622014
28,15,0.10223181028594928
28,16,0.0682319640853067
28,17,0.013814011786846655
28,18,0.004362319511636578
28,19,0.013814011786847524
29,0,0.020477919969717814
29,1,0.09309624670547798
29,2,0.11421832084854314
29,3,0.006466711569385526
29,4,0.11193097859829788
29,5,0.065790346271806
29,6,0.0842699180150234
29,7,0.020477919969717876
29,8,0.04312688691874797
29,9,0.020477919969714112
29,10,0.006466711569385526
29,11,0.10888635028511424
29,12,0.07903294234256597
29,13,0.02047791996971483
29,14,0.0753542163420387
