round,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,mean,std
24,0.0216834501014832,0.0949692838545699,0.1398494231284178,0.0068474052952061,0.1406070557514043,0.0476956729322373,0.0697936400450156,0.0216834501014827,0.0257152905463666,0.021683450101477,0.0216834501014801,0.1002589424856257,0.021683450101482,0.0216834501014811,0.0793169939615976,0.0929478357906738,0.0216834501014825,0.0216834501014838,0.0068474052952061,0.0216834501014834,0.04999999999998283,0.04210839523081177
25,0.0173496161729533,0.1112155041930557,0.1011570274886178,0.0054788261598808,0.0961904674465249,0.0571020908549878,0.0504217951118747,0.0173496161729531,0.0758761106460667,0.0173496161729525,0.0173496161729536,0.0870897975477821,0.0756739885317642,0.0173496161729516,0.1220043200560763,0.0173496161729543,0.0735143164195861,0.0173496161729544,0.0054788261598808,0.0173496161729541,0.049999999999986236,0.03839474684844332
26,0.0177150478959243,0.0798362180039752,0.0899154496604684,0.0055942256513453,0.0978599448342064,0.0920173428708548,0.0649399090692649,0.0177150478959241,0.0382919569689748,0.0177150478959223,0.0177150478959229,0.1092692022541501,0.0843007970409246,0.0177150478959213,0.0916600977931346,0.0422646384171297,0.0744506565124803,0.0177150478959253,0.0055942256513453,0.0177150478959248,0.04999999999998596,0.03551221149430579
27,0.0265899550935534,0.0265899550935541,0.1482529271378928,0.0083968279242813,0.1321895559771851,0.0265899550935551,0.0882222030088664,0.0265899550935528,0.0610361544668127,0.0265899550935539,0.026589955093549,0.1167602696116615,0.1102431935709722,0.0265899550935498,0.0340125343485416,0.0265899550935534,0.0265899550935534,0.026589955093555,0.0083968279242813,0.0265899550935543,0.04999999999997896,0.042322127439809405
28,0.0237626819996458,0.1027654826757455,0.0629677921488678,0.0043623195116365,0.0783850578845139,0.0790052304937231,0.0650694609204039,0.0138140117868467,0.0878070124722287,0.0043623195116365,0.0138140117868432,0.0945682716239971,0.0577248889392493,0.0043623195116365,0.1047750212762201,0.1022318102859492,0.0682319640853067,0.0138140117868466,0.0043623195116365,0.0138140117868475,0.04999999999998904,0.0378285600549387
29,0.0204779199697178,0.0930962467054779,0.1142183208485431,0.0064667115693855,0.1119309785982978,0.065790346271806,0.0842699180150234,0.0204779199697178,0.0431268869187479,0.0204779199697141,0.0064667115693855,0.1088863502851142,0.0790329423425659,0.0204779199697148,0.0753542163420387,0.0204779199697173,0.0615482191758856,0.0204779199697188,0.0064667115693855,0.0204779199697183,0.049999999999983794,0.03752382778701267
30,0.0314962384759654,0.016902756378537,0.0916835375392224,0.0053377125405912,0.0889304239997398,0.0169027563785371,0.0627475935524465,0.016902756378536,0.0360328119271785,0.0169027563785177,0.0169027563785039,0.0658204773828666,0.0784917764285976,0.1296342053856723,0.0896281165512362,0.1326941586758493,0.06384594035007,0.0169027563785369,0.0053377125405912,0.0169027563785367,0.04999999999998661,0.0397583937927057
31,0.0260264565401608,0.1147124273153734,0.0771338133413347,0.0152015395578487,0.0794195782276945,0.1198612560147522,0.0581692081116615,0.0152015395578475,0.0372039704695016,0.0048004861761632,0.0048004861761632,0.0990713367231006,0.0765095279678315,0.0152015395578471,0.0920851235341946,0.0152015395578476,0.0772968982524372,0.0521012471839878,0.0048004861761632,0.0152015395578482,0.04999999999998797,0.038269015497282774
32,0.0180353576662384,0.0180353576662386,0.1100409919702349,0.0056953761051289,0.110497416096471,0.081764672811024,0.1138429544467308,0.0180353576662387,0.1037514146089237,0.0056953761051289,0.0056953761051289,0.0892888880732211,0.0723131272029684,0.0056953761051289,0.0328653442485139,0.1394590287185992,0.0275224929661882,0.0180353576662392,0.0056953761051289,0.0180353576662396,0.04999999999998573,0.04527992112729046
33,0.0165111308154023,0.122667947898509,0.0840558162443026,0.0052140413101278,0.0832548161202157,0.0808199291012988,0.086878369395934,0.0165111308154026,0.0373453820256391,0.0165111308153686,0.0052140413101278,0.1081270331658252,0.0717551141016043,0.0052140413101278,0.1252928664771938,0.0165111308154027,0.0798797753363233,0.0165111308154019,0.0052140413101278,0.0165111308154029,0.0499999999999869,0.04194182984302517
34,0.0191066905057932,0.019106690505794,0.0998757361893493,0.0060336917386724,0.1004499085100418,0.0191066905057941,0.0868096577525906,0.0191066905057932,0.0449735610781564,0.0191066905057866,0.0060336917386724,0.1117507814180333,0.1002686403137019,0.0191066905057882,0.1138267418199908,0.1389106843825649,0.0191066905057929,0.0191066905057938,0.0191066905057941,0.0191066905057938,0.04999999999998489,0.043670410196130556
35,0.0175710035832327,0.1048807816882839,0.1006265955363115,0.0055487379736533,0.0870972718764726,0.1012566390345137,0.0860753881473092,0.0175710035832333,0.0434556452446816,0.017571003583224,0.0055487379736533,0.1019716860559465,0.0799966483992303,0.0175710035832288,0.0451021426352997,0.0175710035832336,0.0864812574545754,0.0409837085067514,0.0055487379736533,0.0175710035832336,0.04999999999998608,0.037548147676852175
36,0.0203415268754666,0.0203415268754679,0.1058491969280951,0.0064236400659378,0.1001156195920365,0.0203415268754679,0.091744901452198,0.0203415268754669,0.043588803481522,0.020341526875432,0.0064236400659378,0.1006377432829106,0.0991192986859186,0.0203415268754667,0.071873001774088,0.125786607179133,0.0203415268754677,0.0792816924222594,0.0064236400659378,0.0203415268754675,0.0499999999999839,0.04012760154571089
37,0.0136529033649421,0.0991174201759745,0.0951349289715688,0.0043114431678772,0.0693131732873175,0.0766591877151473,0.0587896792049671,0.0136529033649427,0.0903889176791689,0.0043114431678772,0.0043114431678772,0.0745188021429371,0.0738452398276159,0.0136529033649338,0.0977895763127421,0.047478624492118,0.0675237114980502,0.0775833525609057,0.0043114431678772,0.0136529033649429,0.04999999999998918,0.03563988591551768
38,0.0148324746002351,0.0667975023969355,0.0833097651267083,0.0046839393474434,0.0836188920811838,0.0699614062760461,0.1116443090681493,0.0148324746002349,0.097266433698319,0.01483247460017,0.0046839393474434,0.0883038293380199,0.0908006630128814,0.0148324746002312,0.0431894127024442,0.0198372465594729,0.065935208604731,0.0809726048386437,0.0148324746002361,0.0148324746002356,0.04999999999998824,0.03590503231091964
39,0.0148761143021584,0.0492286511316765,0.0919757441366047,0.0046977203059455,0.0757917241839799,0.048355185626193,0.0702417862478783,0.0148761143021585,0.0941271083610404,0.0046977203059455,0.0148761143020966,0.0883165313896516,0.0642795034182344,0.0148761143021562,0.1090550052133127,0.113404937305875,0.0148761143021585,0.091873976254594,0.0046977203059455,0.0148761143021589,0.04999999999998821,0.038261986515619406
40,0.0155640724183843,0.1015884989409664,0.0891329467874098,0.0049149702373852,0.0768184831182341,0.0801333998608801,0.0821267649642051,0.0155640724183843,0.0643096983585708,0.0155640724183735,0.0155640724183805,0.0872630621977662,0.0749051691713405,0.0155640724183832,0.0662950820381203,0.015564072418384,0.0804336556009516,0.0782147915578635,0.0049149702373852,0.0155640724183848,0.049999999999987665,0.034219640889356306
41,0.0213618629098307,0.0213618629098313,0.1167432747522073,0.0067458514452107,0.1055206155179206,0.021361862909832,0.0988052424768745,0.0213618629098306,0.0504988022366941,0.0213618629097943,0.0213618629098263,0.1069077638052529,0.0900357561881869,0.0213618629098283,0.0417017345672945,0.1626764784665412,0.0213618629098317,0.0213618629098314,0.0067458514452107,0.0213618629098315,0.049999999999983086,0.04442346284739479
42,0.014985656280412,0.1113370052596707,0.0777328917635311,0.0047323125096045,0.0777057098529081,0.0772661198536657,0.048186428964345,0.0149856562804122,0.0482146884646812,0.0149856562803911,0.0149856562804093,0.0780138836912727,0.0678836519730346,0.0047323125096045,0.1139027941244224,0.014985656280413,0.0791044290902187,0.1165415217507484,0.0047323125096045,0.0149856562804126,0.04999999999998811,0.03873976859120912
43,0.0159035839812475,0.02749574032298,0.0729110880549123,0.0050221844151315,0.0959765990929917,0.0676254761883625,0.0880431373340727,0.0159035839812473,0.1196325071719885,0.0159035839810552,0.0159035839812373,0.1160671651854619,0.0569221404826178,0.0159035839812438,0.1019103738927258,0.1161427315935964,0.0159035839812477,0.0159035839812483,0.0050221844151315,0.0159035839812481,0.04999999999998739,0.04158166528940247
44,0.0196531010818259,0.1378027604687837,0.104696272691647,0.0062062424468932,0.1009638697589328,0.0579833197505078,0.0663008931411984,0.0196531010818259,0.0494818653170136,0.0196531010817942,0.0196531010818214,0.0909327316666492,0.0876080506389842,0.0196531010818258,0.089581830108932,0.0196531010818264,0.0196531010818259,0.0450111129086815,0.0062062424468932,0.0196531010818263,0.049999999999984425,0.038414039650025586
45,0.0158831399382179,0.0158831399382182,0.0724592010350227,0.0050157284015432,0.0813279201860483,0.0900010668897957,0.0772134917604151,0.0158831399382177,0.0988105973638187,0.0050157284015432,0.0158831399382147,0.0816275515051241,0.0630422349573296,0.0158831399382144,0.0253581088226148,0.117310635154579,0.0818502583265717,0.1006529091644982,0.0050157284015432,0.015883139938218,0.04999999999998742,0.0381785316551891
46,0.019375154668544,0.135706582726552,0.1038759627718153,0.0061184698953305,0.0918375603546491,0.019375154668545,0.0742621591432975,0.0193751546685438,0.0530817798796187,0.0193751546685267,0.0193751546685397,0.116076855743442,0.0736601185428402,0.0193751546685418,0.1455104943613998,0.019375154668545,0.0193751546685438,0.0193751546685434,0.0061184698953305,0.0193751546685444,0.049999999999984654,0.04465140779929265
47,0.0143342394364758,0.0143342394364761,0.0944264219075902,0.0045266019273087,0.0625795562441683,0.0797834497132388,0.0660079757446308,0.0143342394364757,0.1154012442835432,0.0143342394364419,0.0045266019273087,0.1118803115610816,0.0672903080215362,0.0143342394364653,0.0143342394364754,0.1056703882223383,0.0732636012757807,0.1097772611886527,0.0045266019273087,0.0143342394364758,0.04999999999998865,0.04123241151357976
48,0.0178860838899545,0.1051636124919936,0.0919146298208186,0.0056482370178812,0.0703171139740889,0.0718154551735398,0.0817013877311448,0.0178860838899549,0.0394268053231168,0.0178860838899499,0.0178860838895909,0.099766988817354,0.0687985683865424,0.01788608388995,0.1371276418454625,0.0178860838899548,0.0795826512806291,0.0178860838899538,0.0056482370178812,0.0178860838899548,0.049999999999985834,0.038914274484389756
49,0.0225929922641498,0.0225929922641501,0.1100482740955313,0.0071346291360482,0.0952522002706504,0.0225929922641506,0.1078678371709255,0.0225929922641495,0.1107135330521589,0.0225929922641458,0.0225929922641448,0.1084694541474237,0.0851477273706138,0.0225929922641497,0.0225929922641491,0.1197088007146037,0.0225929922641501,0.0225929922641494,0.0071346291360482,0.0225929922641497,0.04999999999998212,0.04131537127532542
50,0.0138748107025486,0.0981281708180974,0.0818632641722235,0.0043815191692266,0.0895330801537478,0.0805208384949618,0.0629201877837786,0.0138748107025484,0.0917404065011235,0.0043815191692266,0.0138748107025471,0.0689296403627579,0.0497495973388675,0.0138748107025471,0.1154917409141461,0.0138748107025487,0.0686970633695045,0.0865392968342803,0.0138748107025495,0.013874810702549,0.04999999999998904,0.03698967858111982
51,0.0157503060949873,0.1105676753119934,0.0804045596735636,0.004973780872102,0.0714533045646129,0.0157503060949881,0.0623819298012915,0.015750306094987,0.1144144427001081,0.004973780872102,0.0157503060949616,0.1136404443381418,0.0840851546783985,0.004973780872102,0.0534341499814206,0.1223140738525918,0.0157503060949871,0.0729073050393214,0.004973780872102,0.0157503060949876,0.04999999999998751,0.04211954147193203
52,0.0166525096681301,0.0968772735978786,0.1020946712344035,0.0052586872636209,0.0749034829568978,0.0931791395404554,0.0985039045085278,0.0166525096681305,0.0417098984708306,0.0052586872636209,0.0052586872636209,0.085011828774473,0.0536328028065589,0.0052586872636209,0.0981823058853397,0.0166525096681309,0.0886814848472709,0.0743197323864733,0.0052586872636209,0.0166525096681307,0.04999999999998681,0.038679918613220295
53,0.0181936708858752,0.0181936708858651,0.0876032597981016,0.0057453697534352,0.0870858414388335,0.0859064981872126,0.0800519364746505,0.0181936708858751,0.1029816597796744,0.0181936708858682,0.0057453697534352,0.0901924584853696,0.0649927090009106,0.0181936708858631,0.0798389784232649,0.0809379797931534,0.0833685720246955,0.0181936708858761,0.0181936708858765,0.0181936708858755,0.0499999999999856,0.03507142825160605
54,0.0163603325919938,0.0508490899648811,0.1291605204631199,0.0051664208185252,0.0768917363630163,0.0821602590939749,0.0676531497385597,0.0163603325919939,0.0463429273178005,0.0051664208185252,0.016360332591977,0.0865512951734201,0.052683790152845,0.0163603325919842,0.0861792639492083,0.0755146754432461,0.0163603325919945,0.1211581225586871,0.0163603325919941,0.0163603325919941,0.04999999999998704,0.03785344826086224
55,0.0125750262754494,0.0881029752477898,0.0992765232272394,0.0039710609290898,0.0528467440000156,0.0664628434940521,0.0881426377467983,0.0125750262754494,0.0989258419719217,0.0125750262754352,0.0039710609290898,0.0717519936824654,0.0402139669267856,0.0039710609290898,0.1030171676804814,0.0558983179966048,0.0664000635585028,0.0941726103026419,0.0125750262754489,0.0125750262754495,0.04999999999999003,0.036743421811221026
56,0.019940576158937,0.0199405761589374,0.1574256012547777,0.0062970240501916,0.0980882617926404,0.0999494468048258,0.0665521481085286,0.0199405761589372,0.1072333398635566,0.0062970240501916,0.0062970240501916,0.0979189122726476,0.0635113601006986,0.019940576158934,0.0199405761589364,0.019940576158937,0.0199405761589378,0.1109646722210015,0.0199405761589382,0.0199405761589374,0.049999999999984196,0.04469606134881317
